id_objeto,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,motivo_filtrado,categoria_revision_v2,motivo_revision_v2,decision_auditoria,motivo_auditoria,observacion_auditoria,decision_sugerida
308125,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308125,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308126,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308126,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308127,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308127,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308128,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308128,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308124,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308124,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308130,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308130,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308133,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308133,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308132,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308132,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308134,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308134,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
308129,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308129,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
316943,Feathered Band,Peruvian,,Textiles-Featherwork,Band,"Cotton, feathers",https://www.metmuseum.org/art/collection/search/316943,https://images.metmuseum.org/CRDImages/ao/original/DP18599.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",secundario_featherwork,textil con plumas; conservar en corpus secundario,,,,pasar_a_corpus_secundario
316916,Sash Fragments,Peruvian,,Textiles-Woven,Sash fragment,Cotton,https://www.metmuseum.org/art/collection/search/316916,https://images.metmuseum.org/CRDImages/ao/original/DP18678_1994.35.91.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['sash'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['sash'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
316915,Sash Fragments,Peruvian,,Textiles-Woven,Sash fragment,Cotton,https://www.metmuseum.org/art/collection/search/316915,"https://images.metmuseum.org/CRDImages/ao/original/DP18677_1994.35.90A,B.jpg","clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['sash'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['sash'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
315785,Hat,Peruvian,,Textiles-Woven,Hat,Cotton,https://www.metmuseum.org/art/collection/search/315785,https://images.metmuseum.org/CRDImages/ao/original/vs1987_394_705.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",revision_prenda_accesorio,prenda/accesorio textil; revisar si aporta patrón o iconografía,,,,revisar_para_secundario
308084,Tapestry Border Fragment,Peruvian,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308084,https://images.metmuseum.org/CRDImages/ao/original/97502.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tapestry'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment', 'border'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
316940,Hat,Peruvian,,Textiles-Costumes,Hat,Camelid hair,https://www.metmuseum.org/art/collection/search/316940,https://images.metmuseum.org/CRDImages/ao/original/DP18717.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",revision_prenda_accesorio,prenda/accesorio textil; revisar si aporta patrón o iconografía,,,,revisar_para_secundario
