source,institution,object_id,title,culture,period,object_date,country,region,subregion,locale,classification,department,medium,dimensions,credit_line,repository,object_url,primary_image,primary_image_small,is_public_domain,rights_and_reproduction,artist_display_name,artist_culture,tags,query_term
met,The Metropolitan Museum of Art,316962,Four-Cornered Hat,Wari,,7th–9th century,Peru,,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid hair,H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29609-001.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,316983,Four-Cornered Hat,Tiwanaku,,4th–8th century,Bolivia (?),,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid hair,H. 6 × Circum. 16 in. (15.2 × 40.6 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316983,https://images.metmuseum.org/CRDImages/ao/original/DP-29592-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29592-001.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,316981,Four-Cornered Hat,Tiwanaku,,7th–9th century,Bolivia (?),,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid hair,H. 5 × Circum. 17 1/4 in. (12.7 × 43.8 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316981,https://images.metmuseum.org/CRDImages/ao/original/DP-29590-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29590-001.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,317736,Woman's Dress,Chuquibamba,,14th–early 16th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,Camelid hair,H. 51 1/2  x  W. 60 1/2 in. (130.8 x 153.7 cm),"Purchase, Pfeiffer Fund and Arthur M. Bullowa Bequest, 1995","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/317736,https://images.metmuseum.org/CRDImages/ao/original/DT1275.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT1275.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,319265,Arm bands,Chavín,,800–500 BCE,Peru,,,,Metal-Ornaments,The Michael C. Rockefeller Wing,Gold,Each: H. 1 7/8 × W. (Diam.) 2 3/4 in. (4.8 × 7 cm),"Purchase, Jan Mitchell Gift, 2003","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/319265,https://images.metmuseum.org/CRDImages/ao/original/DT375099.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT375099.jpg,True,,Chavín artist(s),,Animals,Andean textile
met,The Metropolitan Museum of Art,833953,Tapestry Tunic,Wari,,7th–9th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,Camelid wool,H. 42 11/16 × W. 42 15/16 in. (108.5 × 109 cm),"Gift of Claudia Quentin, in celebration of the Museum's 150th Anniversary, 2020","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/833953,https://images.metmuseum.org/CRDImages/ao/original/DP-18736-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-18736-001.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,316978,Four-Cornered Hat,Tiwanaku or Wari,,500–900 CE,Bolivia or Peru,,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid fiber,H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316978,https://images.metmuseum.org/CRDImages/ao/original/DP-29598-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29598-001.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312676,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers, cotton, camelid hair",H. 27 1/2 x W. 83 1/2 x D. 3 1/4 in. (69.9 x 212.1 x 8.3 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312676,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-005.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-005.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,314623,Four-Cornered Hat,Wari,,500–900 CE,Peru,,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid fiber,H. 4 7/8 x W. 6 7/8 in. (12.4 x 17.5 cm),"Gift of Arthur M. Bullowa, 1983","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/314623,https://images.metmuseum.org/CRDImages/ao/original/DP-29604-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29604-001.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312683,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid hair",H. 29 × W. 84 in. (73.66 × 213.36 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312683,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-009.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-009.jpg,True,,,,,Andean textile
