id_registro,id_objeto,fuente,institucion,imagen_local,titulo_original,titulo_es_sugerido,descripcion_oficial,cultura,periodo,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,corpus_analisis,motivo_superficie,material,material_normalizado,tecnica,colores,color_dominante,contraste,densidad_visual,motivos,familia_iconografica,simetria,composicion,descripcion,licencia,estado_metadata,estado_anotacion,observaciones,decision_filtro,puntaje_filtro,motivo_filtrado,fecha_descarga,fecha_anotacion,posible_duplicado_suave,motivo_corpus_secundario,origen_curacion,destino_curacion_final,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,categoria_revision_v2,motivo_revision_v2,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria,decision_curacion_final,motivo_curacion_final
MET-318529,318529,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_318529.jpg,Tunic,Túnica textil,"Título oficial: Tunic. Cultura registrada: Arica(?). Fecha del objeto: 15th–early 16th century. Material registrado: Camelid hair, feathers. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35-1/4 x W. 54 1/2 in..",Arica(?),,15th–early 16th century,Chile,tunica,materialidad_plumas,corpus_secundario_featherwork,superficie amplia o composición visual útil detectada: ['tunic'],"Camelid hair, feathers",fibra de camélido; plumas,tejido; trabajo con plumas,,,,,,,,,"Título oficial: Tunic. Cultura registrada: Arica(?). Fecha del objeto: 15th–early 16th century. Material registrado: Camelid hair, feathers. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35-1/4 x W. 54 1/2 in..",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,16.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/318529,https://images.metmuseum.org/CRDImages/ao/original/DP-28476-001.jpg,,,,,,,,
MET-312826,312826,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312826.jpg,Miniature Dress,Objeto textil,"Título oficial: Miniature Dress. Cultura registrada: Ica. Fecha del objeto: 12th–13th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 8 3/4 × W. 8 5/8 in. (22.2 × 21.9 cm).",Ica,,12th–13th century,Peru; Ica Valley,vestimenta_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['dress', 'miniature dress', 'featherwork']","Cotton, feathers",algodón; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Miniature Dress. Cultura registrada: Ica. Fecha del objeto: 12th–13th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 8 3/4 × W. 8 5/8 in. (22.2 × 21.9 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton'] | evidencia cultural/geográfica andina: ['peru']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/312826,https://images.metmuseum.org/CRDImages/ao/original/DP-28477-001.jpg,,,,,,,,
MET-308402,308402,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308402.jpg,Feathered Tunic,Túnica textil,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1400 - 1700 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Containers. Dimensiones: H. 27 1/2 × W. 27 in. (69.9 × 68.6 cm).",Chimú,,1400 - 1700 CE,Peru,tunica,materialidad_plumas,corpus_secundario_featherwork,superficie amplia o composición visual útil detectada: ['tunic'],"Cotton, feathers",algodón; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1400 - 1700 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Containers. Dimensiones: H. 27 1/2 × W. 27 in. (69.9 × 68.6 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,12.0,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",2026-06-15,,True,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/308402,https://images.metmuseum.org/CRDImages/ao/original/DP214978.jpg,,,,,,,,
MET-316926,316926,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316926.jpg,Feathered Bag,Bolsa textil,"Título oficial: Feathered Bag. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 6 x W. 4 3/4 x D. 2 in. (15.2 x 12.1 x 5.1 cm).",Inca,,15th–early 16th century,Peru,bolso_textil,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['bag', 'featherwork']","Cotton, feathers",algodón; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Bag. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 6 x W. 4 3/4 x D. 2 in. (15.2 x 12.1 x 5.1 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/316926,https://images.metmuseum.org/CRDImages/ao/original/DP158704.jpg,,,,,,,,
MET-316822,316822,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316822.jpg,Feathered Tunic,Túnica textil,"Título oficial: Feathered Tunic. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 42 in. × W. 28 1/2 in. (106.7 × 72.4 cm).",Inca,,15th–early 16th century,Peru,tunica,materialidad_plumas,corpus_secundario_featherwork,"superficie amplia o composición visual útil detectada: ['tunic', 'featherwork']","Cotton, feathers",algodón; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Tunic. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 42 in. × W. 28 1/2 in. (106.7 × 72.4 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False,materialidad de plumas / featherwork separada del corpus principal inicial,corpus_complementario_preliminar,corpus_secundario,,,,https://www.metmuseum.org/art/collection/search/316822,https://images.metmuseum.org/CRDImages/ao/original/lb1993_474.jpg,,,,,,,,
,314894,,,,Square Cloth with Feathered Border,,,Chimú,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Featherwork,Panel,"Feathers, camelid hair, cotton, wool",https://www.metmuseum.org/art/collection/search/314894,https://images.metmuseum.org/CRDImages/ao/original/DP230211.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
,316943,,,,Feathered Band,,,Peruvian,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Featherwork,Band,"Cotton, feathers",https://www.metmuseum.org/art/collection/search/316943,https://images.metmuseum.org/CRDImages/ao/original/DP18599.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
,316961,,,,Feathered Cap,,,Peruvian,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Featherwork,Hat,"Camelid hair, feathers",https://www.metmuseum.org/art/collection/search/316961,https://images.metmuseum.org/CRDImages/ao/original/DP-30088-001.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
,308287,,,,Tabard,,,Chimú,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Feathers-Costumes,Tabard,"Cotton, feathers, plant fiber",https://www.metmuseum.org/art/collection/search/308287,https://images.metmuseum.org/CRDImages/ao/original/DP-41559-001.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,patron_geometrico_legible,,pasar_a_corpus_secundario,patron_geometrico_legible
,314616,,,,Woven Sling Shot,,,Inca,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314616,https://images.metmuseum.org/CRDImages/ao/original/250582.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
,316928,,,,Sling,,,Inca (?),,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Woven,Sling,Camelid hair,https://www.metmuseum.org/art/collection/search/316928,https://images.metmuseum.org/CRDImages/ao/original/vs1994.35.103a.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
,314617,,,,Woven Sling Shot,,,Inca,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314617,https://images.metmuseum.org/CRDImages/ao/original/250583.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
,314615,,,,Woven Sling Shot,,,Inca,,,,,,,,,,,,,,,,,,,,Dominio público / Open Access según metadata de The Met,,,,,,,,,,,auditoria_aceptados_no_piloto,corpus_secundario,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314615,https://images.metmuseum.org/CRDImages/ao/original/250581.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,pasar_a_corpus_secundario,faja_o_banda_util_secundario
