etapa,registros
corpus_principal_actual,35
recuperados_para_principal,97
corpus_principal_v2,132
corpus_secundario_actual,15
recuperados_para_secundario,35
corpus_secundario_v2,50
descartados_por_auditoria,29
requieren_revision,0
