fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,313339,MET-313339,The Metropolitan Museum of Art,Dress Fragment,,Nasca,,,,Textiles-Woven,,,"Cotton, pigment",,,,https://www.metmuseum.org/art/collection/search/313339,https://images.metmuseum.org/CRDImages/ao/original/SC207347.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,307969,MET-307969,The Metropolitan Museum of Art,Border Fragment,,Nasca,,,,Textiles-Woven,,,"Camelid hair, cotton",,,,https://www.metmuseum.org/art/collection/search/307969,https://images.metmuseum.org/CRDImages/ao/original/DP18504.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,307952,MET-307952,The Metropolitan Museum of Art,Tunic Fragment,,Nasca (?),,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/307952,https://images.metmuseum.org/CRDImages/ao/original/DP18638.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,313129,MET-313129,The Metropolitan Museum of Art,Hanging,,Wari (?),,,,Textiles-Woven,,,"Cotton, paint",,,,https://www.metmuseum.org/art/collection/search/313129,https://images.metmuseum.org/CRDImages/ao/original/222460.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,313135,MET-313135,The Metropolitan Museum of Art,Openwork Headband,,Chancay,,,,Textiles-Costumes,,,Cotton,,,,https://www.metmuseum.org/art/collection/search/313135,https://images.metmuseum.org/CRDImages/ao/original/222466.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,316948,MET-316948,The Metropolitan Museum of Art,Openweave Cap,,Peruvian,,,,Textiles-Costumes,,,Cotton,,,,https://www.metmuseum.org/art/collection/search/316948,https://images.metmuseum.org/CRDImages/ao/original/hz1994_35_123.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,316949,MET-316949,The Metropolitan Museum of Art,Openweave Cap with Tassels,,Peruvian,,,,Textiles-Costumes,,,Cotton,,,,https://www.metmuseum.org/art/collection/search/316949,https://images.metmuseum.org/CRDImages/ao/original/DP101292.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,315785,MET-315785,The Metropolitan Museum of Art,Hat,,Peruvian,,,,Textiles-Woven,,,Cotton,,,,https://www.metmuseum.org/art/collection/search/315785,https://images.metmuseum.org/CRDImages/ao/original/vs1987_394_705.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,316940,MET-316940,The Metropolitan Museum of Art,Hat,,Peruvian,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316940,https://images.metmuseum.org/CRDImages/ao/original/DP18717.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,318888,MET-318888,The Metropolitan Museum of Art,Headband,,Inca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/318888,https://images.metmuseum.org/CRDImages/ao/original/DP-13440-001.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,308018,MET-308018,The Metropolitan Museum of Art,Sash Fragment,,Nasca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308018,https://images.metmuseum.org/CRDImages/ao/original/DP18628.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,308020,MET-308020,The Metropolitan Museum of Art,Sash Fragment,,Nasca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308020,https://images.metmuseum.org/CRDImages/ao/original/DP18630.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,308019,MET-308019,The Metropolitan Museum of Art,Sash Fragment,,Nasca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308019,https://images.metmuseum.org/CRDImages/ao/original/DP18629.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
