fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,833953,MET-833953,The Metropolitan Museum of Art,Tapestry Tunic,Túnica textil,Wari,,7th–9th century,Peru,,tunica,superficie_amplia,Camelid wool,fibra de camélido; lana,tapiz; tejido,Título oficial: Tapestry Tunic. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid wool. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 42 11/16 × W. 42 15/16 in. (108.5 × 109 cm).,https://www.metmuseum.org/art/collection/search/833953,https://images.metmuseum.org/CRDImages/ao/original/DP-18736-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_833953.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,"superficie amplia o composición visual útil detectada: ['tunic', 'tapestry']",aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['wool', 'camelid'] | título contiene términos textiles: ['tapestry', 'tunic'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,316978,MET-316978,The Metropolitan Museum of Art,Four-Cornered Hat,Objeto textil,Tiwanaku or Wari,,500–900 CE,Bolivia or Peru,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,Camelid fiber,fibra de camélido; fibra textil,,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku or Wari. Fecha del objeto: 500–900 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm).,https://www.metmuseum.org/art/collection/search/316978,https://images.metmuseum.org/CRDImages/ao/original/DP-29598-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316978.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'wari', 'tiwanaku']",,,,False,parcial,sin_anotar
met,314623,MET-314623,The Metropolitan Museum of Art,Four-Cornered Hat,Objeto textil,Wari,,500–900 CE,Peru,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,Camelid fiber,fibra de camélido; fibra textil,,Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 500–900 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 4 7/8 x W. 6 7/8 in. (12.4 x 17.5 cm).,https://www.metmuseum.org/art/collection/search/314623,https://images.metmuseum.org/CRDImages/ao/original/DP-29604-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_314623.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,308121,MET-308121,The Metropolitan Museum of Art,Four-Cornered Hat,Objeto textil,Wari,,7th–9th century,Peru,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,"Camelid hair, cotton",algodón; fibra de camélido,tejido,"Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 7 in. × Circum. 22 1/2 in. (17.8 × 57.2 cm).",https://www.metmuseum.org/art/collection/search/308121,https://images.metmuseum.org/CRDImages/ao/original/DP-29599-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308121.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,316913,MET-316913,The Metropolitan Museum of Art,Chuspa (coca bag),Bolsa textil,Moche,,650-850 CE,Peru,,bolso_textil,superficie_amplia,"Cotton, camelid hair, and dye",algodón; fibra de camélido,tejido,"Título oficial: Chuspa (coca bag). Cultura registrada: Moche. Fecha del objeto: 650-850 CE. Material registrado: Cotton, camelid hair, and dye. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 5 x W. 6 in. (12.7 x 15.2 cm).",https://www.metmuseum.org/art/collection/search/316913,https://images.metmuseum.org/CRDImages/ao/original/DP-41567-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316913.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['bag'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'moche']",,,,False,parcial,sin_anotar
met,308024,MET-308024,The Metropolitan Museum of Art,Embroidered bag with fringe,Bolsa textil,Nasca,,7th century,Peru,,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 8 3/8 × L. 16 1/2 in. (21.26 × 41.91 cm).,https://www.metmuseum.org/art/collection/search/308024,https://images.metmuseum.org/CRDImages/ao/original/DP-26535-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308024.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['bag'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",,,,True,parcial,sin_anotar
met,308022,MET-308022,The Metropolitan Museum of Art,Embroidered bag with fringe,Bolsa textil,Nasca,,7th century,Peru,,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 7 1/4 x D.12 1/2 in. (18.42 x 31.75 cm).,https://www.metmuseum.org/art/collection/search/308022,https://images.metmuseum.org/CRDImages/ao/original/DP-26534-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308022.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['bag'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",,,,True,parcial,sin_anotar
met,315700,MET-315700,The Metropolitan Museum of Art,Embroidered bag with fringe,Bolsa textil,Nasca,,7th century,Peru,,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 6 in. × D. 14 1/4 in. (15.2 × 36.2 cm).,https://www.metmuseum.org/art/collection/search/315700,https://images.metmuseum.org/CRDImages/ao/original/DP-26541-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_315700.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['bag'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",,,,True,parcial,sin_anotar
met,316892,MET-316892,The Metropolitan Museum of Art,Woman's Mantle (lliclla),Manto textil,Peruvian,,17th–18th century,Peru,,manto,superficie_amplia,Camelid hair,fibra de camélido,tejido,Título oficial: Woman's Mantle (lliclla). Cultura registrada: Peruvian. Fecha del objeto: 17th–18th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35 1/2 x W. 43 3/8 in. (90.2 x 110.2 cm).,https://www.metmuseum.org/art/collection/search/316892,https://images.metmuseum.org/CRDImages/ao/original/DT3832rev.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316892.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['mantle'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['mantle'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['mantle'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",,,,False,parcial,sin_anotar
met,315786,MET-315786,The Metropolitan Museum of Art,Shirt,Objeto textil,Moche,,500–850 CE,Peru; Huarmey Valley(?),,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,"Título oficial: Shirt. Cultura registrada: Moche. Fecha del objeto: 500–850 CE. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 34 1/4 x W. 58 in. (87 x 147.3 cm).",https://www.metmuseum.org/art/collection/search/315786,https://images.metmuseum.org/CRDImages/ao/original/DT1269.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_315786.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['shirt'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['shirt'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['shirt'] | evidencia cultural/geográfica andina: ['peru', 'moche']",,,,False,parcial,sin_anotar
