fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,318529,MET-318529,The Metropolitan Museum of Art,Tunic,Túnica textil,Arica(?),,15th–early 16th century,Chile,,tunica,materialidad_plumas,"Camelid hair, feathers",fibra de camélido; plumas,tejido; trabajo con plumas,"Título oficial: Tunic. Cultura registrada: Arica(?). Fecha del objeto: 15th–early 16th century. Material registrado: Camelid hair, feathers. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35-1/4 x W. 54 1/2 in..",https://www.metmuseum.org/art/collection/search/318529,https://images.metmuseum.org/CRDImages/ao/original/DP-28476-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_318529.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,16.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic']",,,,False,parcial,sin_anotar
met,312826,MET-312826,The Metropolitan Museum of Art,Miniature Dress,Objeto textil,Ica,,12th–13th century,Peru; Ica Valley,,vestimenta_textil,materialidad_plumas,"Cotton, feathers",algodón; plumas,trabajo con plumas,"Título oficial: Miniature Dress. Cultura registrada: Ica. Fecha del objeto: 12th–13th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 8 3/4 × W. 8 5/8 in. (22.2 × 21.9 cm).",https://www.metmuseum.org/art/collection/search/312826,https://images.metmuseum.org/CRDImages/ao/original/DP-28477-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312826.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['dress', 'miniature dress', 'featherwork']",aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton'] | evidencia cultural/geográfica andina: ['peru']",,,,False,parcial,sin_anotar
met,308402,MET-308402,The Metropolitan Museum of Art,Feathered Tunic,Túnica textil,Chimú,,1400 - 1700 CE,Peru,,tunica,materialidad_plumas,"Cotton, feathers",algodón; plumas,trabajo con plumas,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1400 - 1700 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Containers. Dimensiones: H. 27 1/2 × W. 27 in. (69.9 × 68.6 cm).",https://www.metmuseum.org/art/collection/search/308402,https://images.metmuseum.org/CRDImages/ao/original/DP214978.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308402.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,12.0,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",,,,True,parcial,sin_anotar
met,316926,MET-316926,The Metropolitan Museum of Art,Feathered Bag,Bolsa textil,Inca,,15th–early 16th century,Peru,,bolso_textil,materialidad_plumas,"Cotton, feathers",algodón; plumas,trabajo con plumas,"Título oficial: Feathered Bag. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 6 x W. 4 3/4 x D. 2 in. (15.2 x 12.1 x 5.1 cm).",https://www.metmuseum.org/art/collection/search/316926,https://images.metmuseum.org/CRDImages/ao/original/DP158704.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316926.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['bag', 'featherwork']",aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'inca']",,,,False,parcial,sin_anotar
met,316822,MET-316822,The Metropolitan Museum of Art,Feathered Tunic,Túnica textil,Inca,,15th–early 16th century,Peru,,tunica,materialidad_plumas,"Cotton, feathers",algodón; plumas,trabajo con plumas,"Título oficial: Feathered Tunic. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Cotton, feathers. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 42 in. × W. 28 1/2 in. (106.7 × 72.4 cm).",https://www.metmuseum.org/art/collection/search/316822,https://images.metmuseum.org/CRDImages/ao/original/lb1993_474.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316822.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['tunic', 'featherwork']",aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",,,,False,parcial,sin_anotar
met,314894,MET-314894,The Metropolitan Museum of Art,Square Cloth with Feathered Border,,Chimú,,,,Textiles-Featherwork,,,"Feathers, camelid hair, cotton, wool",,,,https://www.metmuseum.org/art/collection/search/314894,https://images.metmuseum.org/CRDImages/ao/original/DP230211.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,316943,MET-316943,The Metropolitan Museum of Art,Feathered Band,,Peruvian,,,,Textiles-Featherwork,,,"Cotton, feathers",,,,https://www.metmuseum.org/art/collection/search/316943,https://images.metmuseum.org/CRDImages/ao/original/DP18599.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,316961,MET-316961,The Metropolitan Museum of Art,Feathered Cap,,Peruvian,,,,Textiles-Featherwork,,,"Camelid hair, feathers",,,,https://www.metmuseum.org/art/collection/search/316961,https://images.metmuseum.org/CRDImages/ao/original/DP-30088-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,308287,MET-308287,The Metropolitan Museum of Art,Tabard,,Chimú,,,,Feathers-Costumes,,,"Cotton, feathers, plant fiber",,,,https://www.metmuseum.org/art/collection/search/308287,https://images.metmuseum.org/CRDImages/ao/original/DP-41559-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,patron_geometrico_legible,,,,pasar_a_corpus_secundario,patron_geometrico_legible,,,,
met,314616,MET-314616,The Metropolitan Museum of Art,Woven Sling Shot,,Inca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/314616,https://images.metmuseum.org/CRDImages/ao/original/250582.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,316928,MET-316928,The Metropolitan Museum of Art,Sling,,Inca (?),,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316928,https://images.metmuseum.org/CRDImages/ao/original/vs1994.35.103a.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,314617,MET-314617,The Metropolitan Museum of Art,Woven Sling Shot,,Inca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/314617,https://images.metmuseum.org/CRDImages/ao/original/250583.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,314615,MET-314615,The Metropolitan Museum of Art,Woven Sling Shot,,Inca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/314615,https://images.metmuseum.org/CRDImages/ao/original/250581.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,315773,MET-315773,The Metropolitan Museum of Art,Sling Shot,,Inca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/315773,https://images.metmuseum.org/CRDImages/ao/original/250471.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,faja_o_banda_util_secundario,,,,pasar_a_corpus_secundario,faja_o_banda_util_secundario,,,,
met,319523,MET-319523,The Metropolitan Museum of Art,Tunic Panel,,Nasca,,,,Textiles-Featherwork,,,"Cotton, feathers",,,,https://www.metmuseum.org/art/collection/search/319523,https://images.metmuseum.org/CRDImages/ao/original/hzTR554_2004.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,patron_geometrico_legible,,,,pasar_a_corpus_secundario,patron_geometrico_legible,,,,
