source,source_id,accession_number,title,culture,creation_date,classification,technique,medium,department,description,url,image_url,share_license_status,has_image,andean_terms,textile_terms,curation_status,curation_notes,raw_queries
Cleveland Museum of Art,95701,1916.1397,Woven Towel,"Italy, Perugia",1400s (or later),Textile,cotton; supplementary weft,,Textiles,,https://clevelandart.org/art/1916.1397,https://openaccess-cdn.clevelandart.org/1916.1397/1916.1397_web.jpg,CC0,True,peru,cotton; textile; woven,candidate,Pendiente de revision visual.,type_textile; type_textile_medium_cotton
Cleveland Museum of Art,97639,1917.281,Towel,"Italy, Perugia (?)",c. 1500,Textile,cotton,,Textiles,,https://clevelandart.org/art/1917.281,https://openaccess-cdn.clevelandart.org/1917.281/1917.281_web.jpg,CC0,True,peru,cotton; textile,candidate,Pendiente de revision visual.,type_textile; type_textile_medium_cotton
