fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,156520,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,double cloth,,,https://clevelandart.org/art/1992.231.2,https://openaccess-cdn.clevelandart.org/1992.231.2/1992.231.2_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,159632,,Fragments of a Belt,"Peru, South Andes, Tiwanaku style",c. 400,Textile,Textile,camelid wool; tapestry,,,https://clevelandart.org/art/1996.348,https://openaccess-cdn.clevelandart.org/1996.348/1996.348_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, South Andes, Tiwanaku style",c. 400,,,,
Cleveland Museum of Art,159633,,Fragment of a Belt,"Peru, South Andes, Tiwanaku style",c. 400,Textile,Textile,camelid wool; tapestry,,,https://clevelandart.org/art/1996.348.a,https://openaccess-cdn.clevelandart.org/1996.348.a/1996.348.a_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, South Andes, Tiwanaku style",c. 400,,,,
Cleveland Museum of Art,159634,,Fragment of a Belt,"Peru, South Andes, Tiwanaku style",c. 400,Textile,Textile,camelid wool; tapestry,,,https://clevelandart.org/art/1996.348.b,https://openaccess-cdn.clevelandart.org/1996.348.b/1996.348.b_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, South Andes, Tiwanaku style",c. 400,,,,
Cleveland Museum of Art,164420,,Mantle or Hanging,"Peru, North Coast, Chimú style, 1200-1460s","1480–1635 (radiocarbon date, 95.4% probability)",Textile,Textile,"cotton; plain weave, brocaded and complex alternating gauze with 3 or 5 shots of plain weave between gauze shots",,,https://clevelandart.org/art/2005.5.1,https://openaccess-cdn.clevelandart.org/2005.5.1/2005.5.1_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, North Coast, Chimú style, 1200-1460s","1480–1635 (radiocarbon date, 95.4% probability)",,,,
Cleveland Museum of Art,164424,,Band with Tassels,"Peru, North Coast, Chimú style, 1200-1460s","1455–1625 (radiocarbon date, 95% probability)",Garment,Garment,cotton; weft-faced plain weave,,,https://clevelandart.org/art/2005.5.5,https://openaccess-cdn.clevelandart.org/2005.5.5/2005.5.5_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Garment,"Peru, North Coast, Chimú style, 1200-1460s","1455–1625 (radiocarbon date, 95% probability)",,,,
Cleveland Museum of Art,165270,,Textile Fragment,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,,https://clevelandart.org/art/2007.2.4,https://openaccess-cdn.clevelandart.org/2007.2.4/2007.2.4_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Moche, north coast",c. 50–650 CE,,,,
Cleveland Museum of Art,165271,,Textile Fragment,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,,https://clevelandart.org/art/2007.2.5,https://openaccess-cdn.clevelandart.org/2007.2.5/2007.2.5_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Moche, north coast",c. 50–650 CE,,,,
Cleveland Museum of Art,165272,,Textile Fragment,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,,https://clevelandart.org/art/2007.2.6,https://openaccess-cdn.clevelandart.org/2007.2.6/2007.2.6_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Moche, north coast",c. 50–650 CE,,,,
Cleveland Museum of Art,165273,,Loose Textile Fragments,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,,https://clevelandart.org/art/2007.2.7,https://openaccess-cdn.clevelandart.org/2007.2.7/2007.2.7_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Moche, north coast",c. 50–650 CE,,,,
