id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
313129,descartados,descartados,mantener,,,,,Hanging,,Wari (?),,,,,"Cotton, paint",,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/313129,https://images.metmuseum.org/CRDImages/ao/original/222460.jpg,,,auditoria_aceptados_no_piloto
313135,descartados,descartados,mantener,,,,,Openwork Headband,,Chancay,,,,,Cotton,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/313135,https://images.metmuseum.org/CRDImages/ao/original/222466.jpg,,,auditoria_aceptados_no_piloto
316948,descartados,descartados,mantener,,,,,Openweave Cap,,Peruvian,,,,,Cotton,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/316948,https://images.metmuseum.org/CRDImages/ao/original/hz1994_35_123.jpg,,,auditoria_aceptados_no_piloto
316949,descartados,descartados,mantener,,,,,Openweave Cap with Tassels,,Peruvian,,,,,Cotton,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/316949,https://images.metmuseum.org/CRDImages/ao/original/DP101292.jpg,,,auditoria_aceptados_no_piloto
315785,descartados,descartados,mantener,,,,,Hat,,Peruvian,,,,,Cotton,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/315785,https://images.metmuseum.org/CRDImages/ao/original/vs1987_394_705.jpg,,,auditoria_aceptados_no_piloto
316940,descartados,descartados,mantener,,,,,Hat,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/316940,https://images.metmuseum.org/CRDImages/ao/original/DP18717.jpg,,,auditoria_aceptados_no_piloto
318888,descartados,descartados,mantener,,,,,Headband,,Inca,,,,,Camelid hair,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/318888,https://images.metmuseum.org/CRDImages/ao/original/DP-13440-001.jpg,,,auditoria_aceptados_no_piloto
308018,descartados,descartados,mantener,,,,,Sash Fragment,,Nasca,,,,,Camelid hair,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/308018,https://images.metmuseum.org/CRDImages/ao/original/DP18628.jpg,,,auditoria_aceptados_no_piloto
308020,descartados,descartados,mantener,,,,,Sash Fragment,,Nasca,,,,,Camelid hair,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/308020,https://images.metmuseum.org/CRDImages/ao/original/DP18630.jpg,,,auditoria_aceptados_no_piloto
308019,descartados,descartados,mantener,,,,,Sash Fragment,,Nasca,,,,,Camelid hair,,,descartado,exclusion_curatorial,fragmento_no_legible,https://www.metmuseum.org/art/collection/search/308019,https://images.metmuseum.org/CRDImages/ao/original/DP18629.jpg,,,auditoria_aceptados_no_piloto
