fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,terminos_andinos_auto,terminos_textiles_auto,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,130762,1953.475,Band with Trophy Heads,"Peru, South Coast, Nasca",100 BCE–700 CE,Textile,Textile,"interlocking warp and weft, single interlock: wool",,"This band, remarkable for its intense color and spider-web sheerness, was created using an unusual technique known as discontinuous warp and weft. That is, none of the vertical or horizontal yarns are continuous from one side of the band to the other. Rather, they travel back and forth within their own color areas, linking at the edges with yarns in adjacent areas. This is a difficult feat when weaving on a loom and the creator likely used another approach, such as darning with a needle over a ground cloth that was then removed. The image repeated in each of the band’s rectangles is a head supported on two little feet.",https://clevelandart.org/art/1953.475,https://openaccess-cdn.clevelandart.org/1953.475/1953.475_web.jpg,nasca; peru; south coast,cloth; textile; weaving; wool,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,132125,1954.68,Lower Border of a Garment,"Central Andes, North Coast, Chimú or Lambayeque (Sican) People",1000–1470s,Textile,Textile,tapestry; wool and cotton,,,https://clevelandart.org/art/1954.68,https://openaccess-cdn.clevelandart.org/1954.68/1954.68_web.jpg,andes; north coast,cotton; garment; textile; wool,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,156519,1992.231.1,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,tapestry weave,,,https://clevelandart.org/art/1992.231.1,https://openaccess-cdn.clevelandart.org/1992.231.1/1992.231.1_web.jpg,chancay; peru,textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,156520,1992.231.2,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,double cloth,,,https://clevelandart.org/art/1992.231.2,https://openaccess-cdn.clevelandart.org/1992.231.2/1992.231.2_web.jpg,chancay; peru,cloth; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,159632,1996.348,Fragments of a Belt,"Peru, South Andes, Tiwanaku style",c. 400,Textile,Textile,camelid wool; tapestry,,,https://clevelandart.org/art/1996.348,https://openaccess-cdn.clevelandart.org/1996.348/1996.348_web.jpg,andes; peru; tiwanaku,camelid; textile; wool,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,159633,1996.348.a,Fragment of a Belt,"Peru, South Andes, Tiwanaku style",c. 400,Textile,Textile,camelid wool; tapestry,,,https://clevelandart.org/art/1996.348.a,https://openaccess-cdn.clevelandart.org/1996.348.a/1996.348.a_web.jpg,andes; peru; tiwanaku,camelid; textile; wool,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,159634,1996.348.b,Fragment of a Belt,"Peru, South Andes, Tiwanaku style",c. 400,Textile,Textile,camelid wool; tapestry,,,https://clevelandart.org/art/1996.348.b,https://openaccess-cdn.clevelandart.org/1996.348.b/1996.348.b_web.jpg,andes; peru; tiwanaku,camelid; textile; wool,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,164420,2005.5.1,Mantle or Hanging,"Peru, North Coast, Chimú style, 1200-1460s","1480–1635 (radiocarbon date, 95.4% probability)",Textile,Textile,"cotton; plain weave, brocaded and complex alternating gauze with 3 or 5 shots of plain weave between gauze shots",,"This garment embodies an important principle of the Chimú textile aesthetic: a love of combining different textures, some dense and sculptural and others so open and airy they are nearly invisible. (The hand-spun yarns are only .1 to .2 millimeters in diameter.) It also elegantly articulates the simplified, spare visual vocabulary that the Chimú favored, here geometric motifs.",https://clevelandart.org/art/2005.5.1,https://openaccess-cdn.clevelandart.org/2005.5.1/2005.5.1_web.jpg,north coast; peru,cotton; garment; mantle; textile,revisar_candidato,descartar_duplicado,,,no,descartado,,,,,,,,
Cleveland Museum of Art,164424,2005.5.5,Band with Tassels,"Peru, North Coast, Chimú style, 1200-1460s","1455–1625 (radiocarbon date, 95% probability)",Garment,Garment,cotton; weft-faced plain weave,,"This garment may have been found with others in the collection that formed a matched set worn by a noble of the Chimú, who rose to power on Peru’s north coast after the year 1000.",https://clevelandart.org/art/2005.5.5,https://openaccess-cdn.clevelandart.org/2005.5.5/2005.5.5_web.jpg,north coast; peru,cotton; garment,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,165270,2007.2.4,Textile Fragment,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,"This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large; a mantle (a shawl-like garment) or a hanging are among the possibilities.",https://clevelandart.org/art/2007.2.4,https://openaccess-cdn.clevelandart.org/2007.2.4/2007.2.4_web.jpg,moche; north coast; peru,camelid; cotton; fiber; garment; mantle; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,165271,2007.2.5,Textile Fragment,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,"This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large; a mantle (a shawl-like garment) or a hanging are among the possibilities.",https://clevelandart.org/art/2007.2.5,https://openaccess-cdn.clevelandart.org/2007.2.5/2007.2.5_web.jpg,moche; north coast; peru,camelid; cotton; fiber; garment; mantle; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,165272,2007.2.6,Textile Fragment,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,"This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large; a mantle (a shawl-like garment) or a hanging are among the possibilities.",https://clevelandart.org/art/2007.2.6,https://openaccess-cdn.clevelandart.org/2007.2.6/2007.2.6_web.jpg,moche; north coast; peru,camelid; cotton; fiber; garment; mantle; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,165273,2007.2.7,Loose Textile Fragments,"Peru, Moche, north coast",c. 50–650 CE,Textile,Textile,cotton and camelid fiber,,,https://clevelandart.org/art/2007.2.7,https://openaccess-cdn.clevelandart.org/2007.2.7/2007.2.7_web.jpg,moche; north coast; peru,camelid; cotton; fiber; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,169188,2011.111,Tunic and Band,"Peru, Chimú or Chimú-Inka, 12th-16th century",1100–1532,Textile,Textile,white cotton; plain weave with supplementary weft brocading,,"Although these garments are similar in appearance and technical features, it is not clear that they were found or used together. To see the record for each, click “see all set records,” above.",https://clevelandart.org/art/2011.111,https://openaccess-cdn.clevelandart.org/2011.111/2011.111_web.jpg,peru,cotton; textile; tunic,revisar_candidato,descartar_duplicado,,,no,descartado,,,,,,,,
Cleveland Museum of Art,169190,2011.111.2,Band,"Peru, Chimú or Chimú-Inka, 12th-16th century",1100–1532,Textile,Textile,white cotton; plain weave,,,https://clevelandart.org/art/2011.111.2,https://openaccess-cdn.clevelandart.org/2011.111.2/2011.111.2_web.jpg,peru,cotton; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,171611,2014.389,Band (Headband?),"Central Andes, Moche-Wari Style, mid-7th to mid-9th century",c. 650–850,Textile,Textile,Camelid fiber (alpaca; weft) and cotton (warp); tapestry weave,,"This jewel-like textile, perhaps the only one of its kind, is made from a single band accordion-folded to form tabs, each edged with lush red tassels. Repeated in different colors down its length is the image of a warrior who holds an axe in one hand and a jagged, club-like object in the other. The reversed orientation of several of the warriors may be the result of the weaving method.",https://clevelandart.org/art/2014.389,https://openaccess-cdn.clevelandart.org/2014.389/2014.389_web.jpg,andes; moche; wari,camelid; cotton; fiber; textile; weaving,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,294034,2017.56,Textile Fragment with Cotton Goddess,"Andes, south coast, Ica Valley?, Chavín style",800–500 BCE,Textile,Textile,"Cotton, pigments",,"The figure painted on this fragment represents a female deity with a large, fanged mouth. Further fanged heads occur on the chest, legs, feet, waist, and staffs of authority she holds. Edging both the staffs and the top of the head are white cotton bolls that have caused the deity to be dubbed the Cotton Goddess and associated with nature’s fertility.",https://clevelandart.org/art/2017.56,https://openaccess-cdn.clevelandart.org/2017.56/2017.56_web.jpg,andes; south coast,cotton; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
