source,source_id,accession_number,title,culture,creation_date,classification,technique,medium,department,description,url,image_url,share_license_status,has_image,andean_terms,textile_terms,curation_status,curation_notes,raw_queries
Cleveland Museum of Art,104251,1922.397.a,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby, brocaded; cotton and wool",,Textiles,,https://clevelandart.org/art/1922.397.a,https://openaccess-cdn.clevelandart.org/1922.397.a/1922.397.a_web.jpg,CC0,True,chancay; peru,cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104252,1922.397.b,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby, brocaded; cotton and wool",,Textiles,,https://clevelandart.org/art/1922.397.b,https://openaccess-cdn.clevelandart.org/1922.397.b/1922.397.b_web.jpg,CC0,True,chancay; peru,cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104253,1922.397.c,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby, brocaded; cotton and wool",,Textiles,,https://clevelandart.org/art/1922.397.c,https://openaccess-cdn.clevelandart.org/1922.397.c/1922.397.c_web.jpg,CC0,True,chancay; peru,cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104390,1922.517,Fragment from a Mantle,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,"tabby, brocaded; border: single-face pattern weave (fancy twill); cotton and wool",,Textiles,,https://clevelandart.org/art/1922.517,https://openaccess-cdn.clevelandart.org/1922.517/1922.517_web.jpg,CC0,True,north coast; peru,cotton; mantle; textile; wool,candidate,Pendiente de revision visual.,Chimu textile; North Coast textile; Peru textile
Cleveland Museum of Art,107850,1925.480,Head Cloth,"Indonesia, Java, North Coast, early 20th century",early 1900s,Textile,batik; cotton,,Textiles,,https://clevelandart.org/art/1925.480,https://openaccess-cdn.clevelandart.org/1925.480/1925.480_web.jpg,CC0,True,north coast,cloth; cotton; textile,candidate,Pendiente de revision visual.,North Coast textile
Cleveland Museum of Art,108026,1925.654,Fragment,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby, brocaded; cotton",,Textiles,,https://clevelandart.org/art/1925.654,https://openaccess-cdn.clevelandart.org/1925.654/1925.654_web.jpg,CC0,True,chancay; peru,cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,108033,1925.660,Unfinished Cloth,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",c. 1100–1400,Textile,tapestry weave; cotton and wool,,Textiles,,https://clevelandart.org/art/1925.660,https://openaccess-cdn.clevelandart.org/1925.660/1925.660_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,108034,1925.661,Fragment of a Double Cloth,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby weave, double cloth; cotton",,Textiles,,https://clevelandart.org/art/1925.661,https://openaccess-cdn.clevelandart.org/1925.661/1925.661_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,108038,1925.665,Large Cloth,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,plain cloth with overlaid tapestry-like decoration; cotton and wool,,Textiles,,https://clevelandart.org/art/1925.665,https://openaccess-cdn.clevelandart.org/1925.665/1925.665_web.jpg,CC0,True,north coast; peru,cloth; cotton; textile; wool,candidate,Pendiente de revision visual.,Chimu textile; North Coast textile; Peru textile
Cleveland Museum of Art,108042,1925.667,Tapestry-woven Yoke from a Tunic,"Central Andes, North Central Coast, Moche-Wari Style",800–1200?,Textile,"camelid fiber and cotton, tapestry weave",,Textiles,"This fragment comes from the upper area of a tunic, with thick embroidery defining remnants of the neck opening. In the rectangular area on the chest are two similar long-tailed creatures rendered in a highly geometric style. Each is rotated 90 degrees, so their tails are parallel to the bottom edge. The cloven hooves on their upper legs may identify the creatures as deer or Andean camelids, such as llamas or alpacas.",https://clevelandart.org/art/1925.667,https://openaccess-cdn.clevelandart.org/1925.667/1925.667_web.jpg,CC0,True,andean; andes; moche; wari,camelid; cotton; fiber; textile; tunic; woven,candidate,Pendiente de revision visual.,Andean textile; Andes textile; Moche textile; North Coast textile; Wari textile
